id,celltype,biosampletype,ctrltype,lab
ENCFF001HQI,fibroblast of mammary gland,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EFE,HepG2,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000XHJ,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000NFR,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000YQC,K562,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZQQ,SK-N-SH,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000NQD,ECC-1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HZB,WI38,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF001HTT,K562,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002AZO,SUDHL6,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000WLG,GM18505,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EGA,K562,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000XIG,HeLa-S3,immortalized cell line,mouse-IgG-control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000AHM,A549,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000AHJ,A549,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001GYO,fibroblast of skin of abdomen,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000WIX,GM12892,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000YPF,K562,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF002EIP,A549,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002ECO,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFR,neural cell,in vitro differentiated cells,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001GZF,fibroblast of the aortic adventitia,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002AXD,Karpas-422,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000ZIB,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF002EFO,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QQG,MCF-7,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000YAU,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001HIK,cardiac mesoderm,in vitro differentiated cells,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
