"EXP","ID","TARGET","CELLTYPE","CTRL1","CTRL2","IFCTRL","LAB"
"ENCSR000AHD","ENCFF000QLT","CTCF","MCF-7","ENCSR000AHE","NA",false,"Richard Myers, HAIB"
"ENCSR000AHD","ENCFF000QLW","CTCF","MCF-7","ENCSR000AHE","NA",false,"Richard Myers, HAIB"
"ENCSR000AHE","ENCFF000QQG","Control","MCF-7","NA","NA",true,"Richard Myers, HAIB"
"ENCSR000AHE","ENCFF000QQI","Control","MCF-7","NA","NA",true,"Richard Myers, HAIB"
"ENCSR000AHE","ENCFF000QQJ","Control","MCF-7","NA","NA",true,"Richard Myers, HAIB"
"ENCSR000AHE","ENCFF000QQK","Control","MCF-7","NA","NA",true,"Richard Myers, HAIB"
"ENCSR000AHF","ENCFF000QRL","TAF1","MCF-7","ENCSR000AHE","NA",false,"Richard Myers, HAIB"
"ENCSR000AHF","ENCFF000QRS","TAF1","MCF-7","ENCSR000AHE","NA",false,"Richard Myers, HAIB"
"ENCSR000AKA","ENCFF000ASR","H3K4me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKA","ENCFF000AUB","H3K4me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKB","ENCFF000ARP","CTCF","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKB","ENCFF000ARV","CTCF","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKC","ENCFF000ASP","H3K27ac","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKC","ENCFF000ASU","H3K27ac","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKD","ENCFF000ASV","H3K27me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKD","ENCFF000ASW","H3K27me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKD","ENCFF000ASZ","H3K27me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKE","ENCFF000ATJ","H3K36me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKE","ENCFF000ATN","H3K36me3","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKF","ENCFF000ASM","H3K4me1","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
"ENCSR000AKF","ENCFF000ATK","H3K4me1","GM12878","ENCSR000AKJ","NA",false,"Bradley Bernstein, Broad"
